A_0	A_1	R_0	R_1	R_2	R_3	Class
0	0	0	1	0	0	0
0	1	1	0	1	1	0
1	1	1	0	1	0	0
1	0	0	0	0	0	0
1	0	0	0	1	1	1
0	1	0	1	1	0	1
0	1	1	0	1	0	0
0	1	1	0	0	0	0
0	0	0	0	0	0	0
1	1	1	0	1	1	1
1	1	1	1	1	0	0
0	1	0	1	1	1	1
1	0	1	0	0	0	0
0	1	0	0	1	1	0
1	1	1	0	0	1	1
0	1	1	1	1	1	1
1	1	1	1	1	0	0
0	0	0	0	0	0	0
0	0	1	0	0	0	1
1	1	1	0	1	1	1
1	0	1	1	1	0	1
1	1	0	1	0	0	0
1	1	1	0	0	1	1
0	0	0	1	0	1	0
1	1	0	0	1	0	0
1	1	1	0	1	0	0
0	1	0	0	0	1	0
0	0	1	1	1	0	1
1	1	1	1	1	1	1
0	1	1	1	1	1	1
1	0	1	1	0	0	0
0	1	1	0	0	1	0
0	0	0	1	0	1	0
0	0	1	0	1	1	1
0	0	1	0	1	0	1
0	1	0	1	1	0	1
1	0	1	1	0	0	0
1	0	1	0	0	1	0
0	0	0	0	0	0	0
1	1	0	0	0	1	1
0	1	0	0	1	0	0
0	1	0	1	0	0	1
0	1	1	0	1	0	0
1	1	0	0	1	1	1
0	1	0	1	1	1	1
1	0	0	1	0	0	0
1	1	0	1	1	1	1
1	1	0	0	1	1	1
1	1	0	0	0	0	0
1	1	0	1	1	1	1
1	0	0	0	0	0	0
0	1	0	1	1	1	1
1	0	0	1	0	1	0
1	1	0	0	0	0	0
1	1	1	0	0	0	0
0	1	1	0	1	1	0
0	0	0	1	0	1	0
1	0	0	0	0	1	0
0	1	1	1	1	1	1
0	0	0	1	0	1	0
0	1	1	0	1	0	0
0	0	1	1	0	0	1
0	0	0	1	0	0	0
0	1	0	0	1	1	0
1	1	0	0	0	1	1
1	1	1	0	0	1	1
0	0	1	1	1	0	1
0	1	0	0	1	0	0
1	1	0	1	0	0	0
1	1	1	0	1	1	1
0	1	0	0	1	1	0
1	1	1	0	1	0	0
1	1	0	1	1	1	1
1	0	0	1	1	1	1
1	1	1	1	1	1	1
0	0	0	1	0	1	0
0	1	1	0	1	0	0
1	0	1	1	1	0	1
1	0	0	1	1	0	1
0	1	0	0	0	1	0
0	1	0	1	0	0	1
0	1	1	1	0	1	1
1	1	1	1	1	0	0
0	0	0	1	0	1	0
0	1	0	1	1	0	1
1	0	0	0	1	0	1
0	1	0	1	0	1	1
1	1	0	0	0	1	1
0	0	0	1	1	1	0
1	1	0	1	1	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	1	1	0	1	1
1	1	1	1	1	0	0
1	1	1	1	1	1	1
1	0	0	1	1	1	1
1	1	0	0	0	0	0
0	0	1	1	0	1	1
0	1	0	0	0	0	0
0	0	1	1	1	0	1
0	0	0	0	0	1	0
0	1	1	1	1	1	1
0	1	0	1	1	0	1
1	1	0	1	1	0	0
0	0	1	0	0	0	1
1	0	1	1	1	0	1
1	0	0	1	1	1	1
0	0	1	0	0	1	1
1	1	0	0	0	1	1
0	1	0	1	1	0	1
0	0	1	0	1	1	1
1	0	0	0	0	0	0
0	0	1	0	0	0	1
1	0	1	1	0	1	0
1	0	1	1	1	0	1
1	0	0	1	1	0	1
0	0	0	0	0	1	0
0	0	1	0	0	1	1
1	1	1	1	1	0	0
0	0	1	1	1	1	1
0	1	0	0	1	0	0
0	0	1	0	1	0	1
0	1	1	1	1	0	1
0	0	1	0	1	1	1
1	0	1	0	0	1	0
1	1	1	1	1	0	0
0	1	0	0	0	1	0
1	0	0	0	0	1	0
1	1	1	1	1	1	1
1	1	0	1	0	0	0
0	0	0	0	1	1	0
1	0	1	1	1	0	1
0	0	1	1	1	0	1
0	0	0	1	0	0	0
1	1	1	0	0	0	0
1	0	0	1	1	1	1
1	0	1	0	1	0	1
1	1	1	1	1	0	0
0	0	1	1	0	0	1
1	1	0	1	0	1	1
0	1	1	0	0	0	0
0	1	0	0	1	0	0
0	1	0	1	0	0	1
0	1	1	1	0	0	1
0	0	0	0	1	1	0
0	0	1	0	0	0	1
0	1	0	1	1	0	1
1	1	1	1	0	1	1
0	0	0	0	1	1	0
0	1	1	0	0	1	0
1	1	0	1	1	1	1
0	1	0	0	1	0	0
1	0	1	1	1	1	1
0	1	1	0	0	0	0
0	1	1	0	1	0	0
0	1	0	1	1	0	1
0	0	0	1	1	1	0
1	1	0	1	1	0	0
1	1	0	1	0	0	0
1	0	0	1	1	1	1
0	0	0	0	0	0	0
0	0	1	1	1	1	1
0	1	0	1	0	1	1
1	1	0	1	0	1	1
1	1	0	1	0	0	0
0	1	0	1	0	0	1
1	0	1	1	1	1	1
0	0	1	1	0	1	1
0	1	0	1	1	1	1
0	0	1	1	0	0	1
1	0	0	1	1	1	1
0	1	1	1	1	0	1
1	0	0	0	1	1	1
1	0	0	0	0	1	0
0	1	0	0	1	0	0
0	0	1	1	0	0	1
1	0	0	1	0	1	0
1	0	0	0	0	1	0
0	0	1	0	1	1	1
0	0	0	1	0	0	0
1	0	1	0	1	1	1
0	0	0	1	1	0	0
0	1	0	0	0	1	0
0	1	0	0	0	1	0
0	0	1	1	1	0	1
1	0	0	0	1	1	1
0	1	1	0	0	0	0
1	1	0	1	0	0	0
1	0	1	1	1	1	1
0	1	1	0	0	0	0
1	1	1	1	0	0	0
0	0	1	0	1	0	1
0	0	1	0	0	0	1
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	1	0	1	1	1
1	0	1	1	0	1	0
1	1	1	0	0	0	0
0	1	1	1	0	0	1
1	1	0	0	0	1	1
1	0	0	0	1	0	1
1	0	1	1	1	0	1
0	0	0	0	1	1	0
1	0	1	0	0	1	0
1	1	1	1	1	0	0
0	0	0	0	1	1	0
1	0	1	0	1	1	1
0	0	1	1	1	1	1
0	0	1	0	0	0	1
1	1	1	1	1	1	1
1	0	0	1	1	1	1
0	1	0	1	1	1	1
0	1	1	1	1	1	1
0	1	1	0	0	1	0
0	0	1	0	1	0	1
1	0	0	1	0	0	0
0	1	0	0	0	0	0
1	0	0	1	0	0	0
0	0	0	1	1	0	0
1	1	0	1	0	0	0
1	0	0	1	0	0	0
1	1	0	0	1	1	1
0	1	1	1	0	1	1
0	0	0	0	1	1	0
0	0	1	1	0	1	1
1	0	1	1	1	1	1
0	0	0	1	0	0	0
1	1	1	1	0	1	1
1	1	1	0	1	0	0
1	0	0	1	0	1	0
1	1	0	1	0	0	0
0	1	1	1	1	1	1
1	1	0	1	1	1	1
0	0	0	1	1	0	0
0	1	1	0	0	0	0
1	1	1	0	0	0	0
0	0	0	1	0	0	0
1	0	0	1	1	0	1
1	0	1	1	0	0	0
1	1	1	1	0	0	0
0	1	1	0	0	0	0
0	1	1	0	0	1	0
0	0	0	0	1	1	0
1	1	0	1	0	1	1
1	1	1	0	0	1	1
1	1	0	1	0	1	1
0	1	1	1	1	0	1
1	1	0	0	1	1	1
1	1	1	1	1	0	0
0	0	1	1	1	0	1
1	0	1	1	1	1	1
1	0	0	0	0	0	0
0	0	0	1	0	0	0
1	0	0	0	1	0	1
1	0	1	1	1	1	1
0	1	1	1	1	1	1
1	1	0	0	0	1	1
1	1	0	0	0	1	1
1	1	0	1	1	0	0
1	1	0	1	0	0	0
0	1	1	1	0	1	1
0	0	0	1	0	1	0
0	0	0	1	1	0	0
1	0	0	0	0	1	0
0	1	0	0	1	0	0
1	0	1	1	0	1	0
1	0	0	1	0	0	0
0	0	1	1	1	0	1
1	1	1	0	0	0	0
0	1	1	0	1	0	0
1	1	1	0	1	1	1
1	1	0	0	0	0	0
1	0	1	0	1	1	1
1	1	0	0	1	1	1
1	1	1	1	0	0	0
1	0	1	0	1	0	1
1	0	0	1	1	1	1
0	0	0	0	1	1	0
1	0	0	0	1	0	1
0	0	0	1	1	0	0
1	0	0	1	0	0	0
0	0	0	0	1	0	0
1	1	0	1	1	0	0
0	1	0	0	0	0	0
0	1	0	1	0	0	1
0	0	1	0	0	1	1
0	0	0	1	1	0	0
0	0	1	1	0	0	1
0	1	0	1	0	0	1
1	0	0	0	0	1	0
0	0	1	0	1	1	1
0	0	0	1	0	1	0
0	1	1	1	1	1	1
1	0	0	0	0	0	0
1	1	1	0	0	1	1
0	0	0	1	0	1	0
1	0	0	0	1	1	1
0	1	0	1	0	1	1
0	0	0	0	1	1	0
1	0	0	1	0	1	0
1	1	0	0	1	1	1
0	0	0	0	0	1	0
0	1	1	1	0	1	1
0	1	0	1	1	0	1
0	0	1	0	1	1	1
0	1	1	0	0	1	0
1	0	1	1	0	0	0
0	0	0	0	1	1	0
0	1	0	0	1	0	0
0	1	1	1	0	0	1
1	0	1	0	0	0	0
1	0	1	0	1	0	1
0	0	0	0	0	1	0
0	0	0	1	1	1	0
0	1	1	1	1	1	1
1	0	1	0	0	1	0
0	0	0	1	1	0	0
1	1	1	0	0	0	0
0	1	0	0	0	0	0
1	0	0	0	1	1	1
0	0	1	0	0	1	1
0	0	1	0	0	0	1
1	1	1	1	1	1	1
1	0	1	0	0	1	0
0	0	1	0	0	0	1
1	0	0	0	1	1	1
0	0	0	0	0	1	0
0	0	0	1	1	1	0
0	0	0	0	0	1	0
1	1	0	0	1	0	0
0	0	1	0	0	1	1
0	0	0	1	1	0	0
0	0	1	1	0	0	1
1	0	1	1	1	0	1
0	0	0	0	0	1	0
0	1	1	0	0	1	0
1	1	1	1	1	1	1
0	1	0	1	1	1	1
0	0	0	0	0	1	0
0	1	0	0	1	1	0
1	1	0	0	0	0	0
0	0	0	0	0	1	0
0	1	1	0	1	1	0
0	0	0	0	0	1	0
1	1	0	0	1	0	0
0	0	1	1	0	0	1
0	1	0	1	0	0	1
0	1	1	1	1	0	1
1	1	1	0	0	0	0
0	1	1	1	1	0	1
1	1	1	1	0	1	1
1	0	1	1	1	1	1
1	0	0	0	0	0	0
1	1	0	1	1	1	1
0	1	1	0	0	1	0
0	0	1	0	0	0	1
1	1	1	1	0	0	0
0	1	0	1	0	0	1
0	0	0	0	1	1	0
0	0	1	0	1	1	1
0	0	0	0	1	0	0
0	1	1	0	0	1	0
1	0	1	1	0	0	0
1	1	1	0	0	0	0
1	0	0	1	0	0	0
1	1	1	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	0	0	0
0	0	0	0	1	1	0
0	0	1	1	0	0	1
1	0	0	0	1	1	1
1	0	1	1	1	1	1
1	0	0	1	0	0	0
0	1	0	0	0	1	0
0	1	1	0	0	0	0
1	0	1	0	0	1	0
1	0	1	1	1	0	1
0	1	0	1	1	0	1
1	1	1	0	1	0	0
0	1	1	0	1	1	0
0	1	0	0	0	0	0
0	1	0	1	1	0	1
0	1	0	0	0	1	0
1	1	1	1	1	0	0
0	1	1	0	0	0	0
1	0	1	1	0	0	0
0	0	1	1	1	0	1
1	1	1	1	0	0	0
1	1	0	0	0	1	1
1	1	1	0	1	0	0
1	1	1	1	1	0	0
0	1	0	1	0	1	1
0	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	0	0	0	1	1
0	1	1	1	0	1	1
1	1	1	1	0	1	1
0	0	1	0	1	1	1
0	1	1	0	1	1	0
1	0	0	1	0	0	0
0	0	1	0	0	0	1
0	1	1	1	1	0	1
1	0	1	0	1	1	1
1	0	0	1	0	1	0
0	0	1	0	1	0	1
1	1	1	0	1	1	1
1	0	0	1	0	0	0
1	1	1	1	1	0	0
1	0	1	1	0	1	0
0	0	0	1	1	0	0
1	1	1	0	0	1	1
0	0	1	0	0	0	1
1	1	0	1	0	1	1
1	1	0	0	0	0	0
1	1	1	0	1	1	1
0	1	0	1	1	1	1
1	0	0	0	0	1	0
1	1	1	0	0	1	1
1	1	1	0	1	1	1
1	0	1	0	0	1	0
0	1	1	1	1	1	1
1	1	1	0	0	0	0
0	0	0	1	1	1	0
0	1	1	1	1	0	1
0	1	0	1	0	0	1
0	1	0	0	0	1	0
1	1	1	1	0	1	1
1	0	1	0	1	1	1
0	0	1	0	1	0	1
0	0	1	0	0	0	1
1	1	1	0	1	0	0
1	0	1	1	0	0	0
0	1	0	1	0	0	1
1	1	1	0	1	1	1
0	0	1	1	1	1	1
0	0	0	0	0	1	0
1	1	0	1	0	0	0
0	1	1	0	0	1	0
0	1	0	0	0	0	0
1	1	1	0	0	0	0
0	0	1	0	1	0	1
1	0	0	0	1	0	1
0	1	1	1	0	1	1
0	1	1	1	1	1	1
0	0	1	0	1	1	1
1	0	0	0	0	1	0
1	1	1	0	0	1	1
0	0	0	1	1	0	0
0	0	1	1	0	1	1
0	1	1	1	1	1	1
0	1	1	0	0	0	0
1	0	0	1	0	1	0
0	0	0	0	0	0	0
1	1	0	0	0	0	0
1	0	1	1	1	1	1
1	1	0	0	0	1	1
1	0	1	1	1	1	1
0	0	1	1	0	1	1
0	1	0	0	1	0	0
1	1	1	0	1	0	0
0	1	0	0	1	0	0
0	1	0	0	0	0	0
0	0	1	0	0	1	1
0	0	1	1	0	0	1
0	1	1	1	1	1	1
1	0	0	0	0	0	0
0	0	0	0	1	0	0
0	1	0	0	0	0	0
1	1	0	0	0	0	0
0	0	0	0	0	0	0
0	1	1	0	0	0	0
1	1	0	0	0	0	0
0	0	1	0	0	1	1
0	0	0	0	0	1	0
0	0	1	1	0	0	1
1	1	0	1	0	1	1
0	1	1	1	0	0	1
0	0	0	1	1	0	0
1	1	0	1	1	1	1
1	1	0	1	0	1	1
0	0	0	1	1	0	0
0	0	1	0	1	1	1
1	0	1	0	0	1	0
1	0	1	1	0	0	0
1	1	0	0	0	0	0
0	1	1	1	1	0	1
0	0	0	1	0	0	0
1	0	0	0	0	1	0
0	0	1	0	1	0	1
0	0	1	0	0	1	1
0	1	0	0	0	1	0
1	1	1	0	1	0	0
1	0	0	0	1	0	1
1	0	1	0	1	1	1
1	0	1	1	0	0	0
1	1	0	0	0	1	1
0	0	0	1	1	1	0
1	0	1	1	0	1	0
1	1	0	1	0	1	1
0	0	0	0	1	0	0
