N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	M0P0	M0P1	Class
0	0	0	0	40.2703263	0.403930784	41.5640818	2	37.93528364	0	92.61475803	2	65.2457329	2	1	25.71540666	1	0	92.83212305	56.18272597	1
1	0	0	0	23.8030003	81.96834745	80.37480593	1	5.728332121	0	18.76856555	1	30.54743424	1	1	22.89048838	0	1	72.55656828	63.96930343	1
0	0	0	1	46.0184815	31.02578807	7.912648667	2	35.49652092	0	30.04066802	1	10.32502554	1	1	30.55588971	0	0	17.30737046	43.3744414	1
0	0	0	1	146.5308532	4.704548247	64.3336343	0	37.35699811	0	55.43692237	1	80.31753258	1	1	77.49631771	1	1	52.90268111	73.83007554	1
0	1	0	1	45.09160305	5.889670319	45.41283552	0	34.89244614	0	26.65119532	0	76.01925801	1	1	16.54458195	1	0	36.99081306	43.77952805	1
1	0	0	1	147.0243701	22.59721176	64.09733614	0	4.269242909	0	77.55229082	1	56.43693147	1	1	26.22336286	2	0	27.67204124	12.20141927	1
0	1	1	0	38.87625041	26.287377	4.951881907	1	4.940801899	0	14.58003767	0	2.721542727	0	2	47.48216811	0	0	49.39464995	0.073241978	1
0	1	0	0	61.82340589	89.6619707	6.251505747	1	0.941378482	1	58.62747744	1	92.92881389	2	1	56.82959946	2	0	61.93359337	95.77070075	1
0	1	0	0	99.06467503	2.290798679	86.27028543	0	40.60144706	0	74.55066621	1	137.8331332	0	0	82.51674019	1	0	55.59129875	88.99316323	1
1	0	0	1	64.94781638	42.99308323	40.53316231	1	6.919561499	1	69.75577069	0	40.79382367	2	2	45.13930021	0	0	19.20517927	46.08333124	1
1	1	0	0	135.5914877	79.93825813	37.62193044	0	4.785730507	1	65.21163345	0	119.1465189	1	1	23.47405946	0	0	39.07881014	7.010159405	1
0	1	1	1	93.39465413	26.62011498	46.02947291	1	38.85779681	1	76.68789264	0	12.84020282	0	0	30.11065067	0	0	78.67336486	52.18329389	1
0	0	0	1	87.36038666	35.09869292	35.58614717	0	18.04950458	1	61.95603434	1	68.02885133	2	1	23.12480885	1	0	69.25483933	64.020996	1
0	1	0	1	97.01896242	20.68026793	8.164656616	1	32.74132717	0	101.3789109	1	31.91766826	1	1	16.87076755	1	1	91.03556577	58.02614709	1
0	0	0	2	35.24990819	31.51126834	33.16420362	1	46.81752991	1	2.817404708	2	57.87794829	0	0	21.91238994	1	1	31.60166369	21.78025349	1
0	0	1	1	14.12721048	20.62526156	17.43323291	1	10.73079244	1	15.54836157	1	1.803009474	1	1	27.3700833	0	0	50.68991968	96.14149378	1
1	1	0	2	7.944839367	46.48018566	7.249645957	1	19.91336116	1	57.86731507	1	18.55688401	2	0	4.119394464	1	0	56.36612141	68.44313535	1
0	0	0	1	37.38158518	32.68048453	26.96479959	0	9.331650378	0	136.2094161	1	34.68872748	1	1	82.42956108	1	1	6.666173824	30.80601532	1
0	0	1	1	51.29360822	44.28950515	11.47027444	0	21.13996725	1	137.6018785	0	85.04747491	1	1	19.29565071	1	0	12.38615686	10.83306955	1
0	1	0	0	85.24309436	10.76775016	80.9148219	1	12.50252887	1	43.71621171	1	125.513931	0	1	48.43619154	0	1	12.07236305	45.07218229	1
0	1	1	2	76.67614024	30.48837176	9.805986065	1	12.20786203	0	32.3910283	0	50.70528213	1	0	42.76426935	0	0	66.67779966	54.29646168	1
0	0	0	0	116.7585661	0.231847426	31.34995689	1	38.77086561	0	60.46127054	1	37.76749199	0	1	28.28998752	1	1	5.518790772	13.98785658	1
0	0	0	0	21.06357318	25.65360603	79.31409722	1	3.786111141	1	54.54148191	1	49.16752514	1	0	20.6857302	0	1	5.754110204	41.74170757	1
0	1	0	1	47.75652541	14.5805584	6.099455224	0	11.21943883	0	97.55692701	0	105.8553239	0	1	31.64149268	1	1	3.150058973	43.86997138	1
1	1	0	1	130.8770592	44.31094254	99.85800057	0	6.183767748	1	61.40119529	0	13.26279816	1	1	62.27450738	1	0	111.1406304	94.40089258	1
0	0	0	1	64.22590506	27.69669042	76.76399954	1	5.043976209	0	66.317414	1	56.79546058	2	1	3.376441359	0	0	39.64807416	1.993416525	1
0	1	0	1	48.97234591	45.30289292	28.82600844	1	36.62976984	1	90.73668923	1	87.61372636	1	1	6.85389308	1	0	88.28182507	74.5211027	1
0	0	0	1	36.00800673	40.83718701	66.69222628	1	3.490204028	0	79.12653598	1	67.01503996	1	1	49.1796341	2	0	35.84833658	11.48614825	1
0	1	0	0	34.88516893	15.58219482	25.6980897	1	26.98091844	1	56.71776503	1	25.95173953	0	0	86.17757148	2	0	21.89668306	35.77569655	1
0	1	0	2	4.480069982	48.42314282	48.31908811	0	45.84929449	1	3.221782597	1	27.72088289	1	1	26.75804668	0	0	11.56886589	11.86924001	1
0	1	0	2	74.58413542	30.04982064	106.5421651	1	44.81574115	0	141.2640886	1	35.41838031	0	0	30.8725582	0	0	14.88949155	38.33994443	1
0	1	0	2	145.6853706	22.18604126	3.411519661	1	75.85317878	0	13.11313033	1	70.89489792	2	1	47.15133768	1	0	24.28643156	22.14949237	1
1	0	0	2	146.4732201	47.9290376	51.17929734	0	64.94431427	1	0.591079949	1	112.0651422	1	0	41.13953896	0	1	3.047667133	47.47357973	1
0	1	1	0	90.12888745	7.705543088	33.98374712	1	31.35942393	0	6.451979223	1	39.89138854	1	2	11.29395441	2	0	14.89373421	16.79732701	1
0	0	0	1	58.12596451	38.66171043	44.36205441	2	21.23537121	1	13.7229008	2	44.42041495	1	2	8.479315898	1	0	99.98805823	109.3775872	1
0	1	0	0	54.08237508	26.29553652	34.65419932	2	58.82073814	1	40.23139554	1	77.41162263	1	1	50.43508723	2	0	62.61158556	72.06767521	1
1	0	0	1	148.6913977	28.62856655	46.36855652	2	65.63188482	2	29.69627333	0	62.20623102	1	1	31.36252923	1	0	10.00667501	40.35921225	1
0	1	0	0	55.16934596	21.56066054	20.20367317	0	4.741787714	0	120.4923183	1	32.75146177	0	0	36.62569887	1	1	86.11559706	96.0606572	1
0	0	0	2	55.9181892	27.69351985	36.16974123	2	2.65280473	1	30.98826429	0	61.45453247	1	2	18.82132267	1	0	41.10222891	0.915780253	1
0	1	0	1	64.47489788	91.46552263	0.444845531	0	41.9918533	0	63.40329852	1	46.70462077	0	0	28.61148149	1	0	137.3819468	79.24180047	1
0	0	0	1	68.31565921	26.35857575	21.36309825	1	69.10768006	0	22.52124107	1	24.73827348	1	1	26.50074409	0	0	15.13052758	25.12596448	1
1	0	0	0	139.0849386	29.11522812	87.43553038	1	20.20658874	1	65.52170636	0	111.3165477	0	1	27.69141598	1	0	30.36362132	10.19944553	1
